Assignee,Blockchain ecosystem,Date Created,Description,Impact Area,Logo,Name,preJan20th) Upvotes,Reviewed?,Submitted by (email),Submitted by (name),Submitted by owner?,Subscribed,Topic,Upvotes,Web3
https://2local.io/,Binance Smart Chain,5/7/2022 11:03 AM,2local loyalty platform with the goal to achieve a sustainable world with prosperity for all. The cashback system supports sustainable and local-to-local working businesses. This cashback is generated from the profit from Yield Farms and Staking Pools. 2local doesn’t profit from its users but creates value with its users.,Social justice,,2local.io,4,checked,,,,,Marketplace,0,
https://www.acredaos.com/,Ethereum,5/7/2022 11:03 AM,ACRE DAOs is a decentralized impact investment club and Web3 access portal to the community of ACRE Invest token holders.,Social justice,,"ACRE DAOs
",2,checked,,,,,"Land,Investing",0,DAO
https://www.aerial.is/,Ethereum,5/7/2022 11:03 AM,"They track and offset the of individuals, enterprises, and blockchains for brands, artists and everyday people. They also let you offset your nft collections. ",Carbon,,Aerial.is,2,checked,,,,,"Offsetting,Accounting",0,"NFT,dApp"
https://www.aerth.live/,,5/7/2022 11:03 AM,"An oracle based data lake, integrating large, standardized environmental data sets, in order to generate a cohesive environmental health model of our planet.",Carbon,,AERTH,2,checked,,,,,"Land,AI,MRV",0,Oracle
https://agrotoken.io/pt/,"Ethereum,Polygon,Algorand",5/7/2022 11:03 AM,Primeira 'criptomoeda da soja' quer tokenizar 5% da produção mundial e mira no agronegócio brasileiro,Food & Agriculture,,Agrotoken,4,checked,,,,,Commodities,0,Token
https://www.aid.technology/,,5/7/2022 11:03 AM,"AID:Tech's platform brings transparency and traceability to the distributions of resources by Governments, NGOs, Corporates and charities. At the core of the AID:Tech platform is digital identity; enabling blockchain applications to bring access and inclusion to the underserved.",Social justice,,AIDtech,0,checked,,,,,"Identity,Charity,AI,Payments",0,"""Blockchain (L1, L2)"""
https://algoanna.com/,Algorand,5/7/2022 11:03 AM,"We have a long term vision for this project that includes, staking, governance and the formation of a DAO. Explore our roadmap to learn more. Inspired by Algorand's carbon negative approach and wanting to safeguard the Goanna's natural habitat here in Australia we have pledged to plant one tree for every NFT created. Our intial goal was 1:1 NFT:Tree but having smashed our release we are aiming for 50k Trees planted. ",Nature,,Algoranna,0,checked,,,,,Fundraising,0,NFT
allegory.earth,Celo,5/7/2022 11:03 AM,Allegory invests and builds at the intersection of web3 and climate,Investing,allegory-labs.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/E8IYQaBHPyxQMCy7IL3tRA/FRgSRlNsCDMExRGQPSwDPIxS_Dq5ERgPupJr7SPabhVeVI-BwB4Yu3T0FHIN9ksKgrSiiZG3FRWvTl3j7FFSLAAQ7kBPwo6r6DLPOQ9HGFg/w15lAfbV4JVAP5cBjyeEczS9RAj10VDPPOXrY64VImE),Allegory,22,checked,,,,,VC,0,
https://www.angelprotocol.io/,Ethereum,5/7/2022 11:03 AM,"Angel Protocol enables your charity to thrive from decentralized financial products, without the complexity",Investing,angel-protocol.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/Q9VlfvmyCPTqgeZVmPJRIQ/LTP5BodgG16jvXNhmQO6aYVw01bE94Tr9eveEzaG2Zph6f1JPs7xEtX4xBjsjwt7nQJ6RQaCzUOI4oYlsNgqppew53yM_gAN5VcQ4eX_Bkg/EzTVdAikdnWkxGkSBBjgxWpgvrhfvIcQzrVhWWF2qBE),AngelProtocol,3,checked,,,,,Charity,0,
https://aquagoat.finance/,Binance Smart Chain,5/7/2022 11:03 AM,"AquaGoat is a yield-generating social cryptocurrency. Members of the AquaGoat ecosystem earn interest from network activity, all while benefiting the planet though our charitable partnerships.",Nature,aquagot.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/2iNssIbaplpxzKWM-UNPVQ/ontLeAzvnxTWmfrBCdmsZ1rcE0Ms-g1_I4ZzJVKBOTnUMmYZO0vsl7OI-nj0a2PxItf3fvfNsc6yQok-8rO5VpH5pgaombtA8d_eLs4XreQ/b7dEqK9hyZoiGpUzyRuLHXdHRzzmkmpT_2prQSbHUQM),Aqua Goat,4,checked,,,,,"Charity,Fundraising",0,Token
https://argoblockchain.com/,Bitcoin,5/7/2022 11:03 AM,"Powering the World's Most Innovative Bitcoin Mining & Blockchain Technologies Argo Blockchain is a world-leading cryptocurrency miner, championing the use of renewable sources of power to support the growth and development of blockchain technologies.",Energy,,Argo Blockchain,0,checked,,,,,Mining,0,
https://astral.global/,Celo,5/7/2022 11:03 AM,Building tools to underpin the spatial and location-based decentralized web.,Nature,,Astral,0,checked,,,,,"Land,AI",0,"Oracle,dApp,NFT"
https://www.basin.global/,"Cosmos,Regen Network",5/7/2022 11:03 AM,"A global DAO reducing/removing carbon, restoring/protecting nature and improving human health/wealth.  ",Nature,basin-dao.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/EZ3B-9iaUDClZbM5PKRPyw/am3Mz-yFqnXPCbN7I7m3noBC4pW2XEvmvmYQLkuG-Pfpn9lwpDoThi4Y-wmWrLmggef2iz5yoky1xklAFs5jbC8hZdXOilon9MD-bBtbU1w/DJMFlKTcKTBHXDH5twtevg4S8fgTR3pFai2l8I8LWDk),"BASIN DAO
",9,checked,,,,,"Land,Biodiversity,Investing",0,"DAO,Token"
https://dao.biggreen.org/,Ethereum,5/7/2022 11:03 AM,"The Big Green DAO is a first-of-its-kind experiment to radically reconceive and restructure grant-making, disrupting embedded power structures by putting nonprofits in the driver’s seat. The Big Green DAO is controlled by its grantees and donors. Everyone gets the same vote.",Food & Agriculture,,Big Green DAO,2,checked,,,,,"Fundraising,Community",0,DAO
https://www.bitlumens.com/,,5/7/2022 11:03 AM,Bitlumens combines the power of innovation with entrepreneurship facilitating the scaling of green technologies in off-grid communities.,Energy,,Bitlumens,0,checked,,,,,Renewables,0,
https://www.bitnoa.com.ar/,Binance Smart Chain,5/7/2022 11:03 AM,Sucoin is a digital token backed by a real asset and designed so that anyone can safely buy and store their own sugar.,Food & Agriculture,,Bitnoa,2,checked,,,,,Commodities,0,"Token,Stablecoin"
https://blockc.com.br/,,5/7/2022 11:03 AM,"The blockchain-based solution company allows and hosted in the cloud that your contract is just the carbon update operation modules of your journey. A platform with handling and invulnerable technology, which guarantees total traceability.",Carbon,,BlockC,0,checked,,,,,Offsetting,0,
https://www.blockchainforclimate.org/,Ethereum,5/7/2022 11:03 AM,Connecting the National Carbon Accounts of the world to enable cross-border collaboration in emissions reductions.,Carbon,,Blockchain for Climate Foundation,2,checked,,,,,Offsetting,0,NFT
https://www.blocklab.nl/,,5/7/2022 11:03 AM,"BlockLab put blockchain technology into practice. Working with engineers, developers, and end users, we build applications to enhance the global energy transition and optimize global supply chains.",Energy,,Blocklab,0,checked,,,,,Consulting,0,
https://blocklapse.earth/info/,Ethereum,5/7/2022 11:03 AM,"Blocklapse is a generative art project made up of 3D, unique, progressively-generated trees on Ethereum. Each tree is expected to become fully grown over time, exhibiting a randomly generated set of traits. In collaboration with Toucan, a share of the sale’s proceeds will be diverted towards carbon offsets.",Carbon,,Blocklapse,0,checked,,,,,Offsetting,0,NFT
https://www.blok-z.com/,,5/7/2022 11:03 AM,Blok-Z’s renewable energy tracking software GreenLink offers an easy way for energy sellers and buyers to match energy consumption with renewable energy sources in a more granular way.,Energy,,Blok-z,0,checked,,,,,Renewables,0,
https://bounties.network/,Ethereum,5/7/2022 11:03 AM,"The Bounties Network empowers humans to incentivize and self-organize, from freelancing to grassroots social action, and anything in between. Whether it's for research, content translation, or video production, The Bounties Network lets you create projects, collaborate, and get paid for doing great work in any domain.",Social justice,,Bounties.network,0,checked,,,,,Community,0,
https://www.brightid.org/,Ethereum,5/7/2022 11:03 AM,BrightID is a social identity network that allows you to prove that you’re only using one account. It’s the holy grail of digital identity.,Social justice,,Bright ID,0,checked,,,,,Identity,0,dApp
https://www.bvrio.org/,Not applicable,5/7/2022 11:03 AM,BVRio's mission is to promote the use of market mechanisms to facilitate compliance with environmental laws and support the green and low carbon economy.,Politics & activism,,BVRio Environmental Exchange Platform,0,checked,,,,,Consulting,0,
creatorcabins.com,Ethereum,5/7/2022 11:03 AM,Cabin is the DAO to help other DAOs accelerate their work by getting together IRL. Cabin is a DAO building a decentralized city for independent online creators,Social justice,,cabin,0,checked,,,,,"Community,Local",0,
https://carbon.fyi/learn,Ethereum,5/7/2022 11:03 AM,CALCULATE THE CO2 FOOTPRINT OF AN ETHEREUM ADDRESS,Energy,,"Carbon FYI 
",0,checked,,,,,Accounting,0,dApp
https://carbonswap.exchange/#/swap,"Ethereum,Energy Web Chain",5/7/2022 11:03 AM,"CarbonSwap is a family of interconnected green, sustainability-focused DeFi & NFT products, including initially an automated market-making (AMM) decentralized exchange (DEX) and a bi-directional ERC-to-ERC bridge (Omnibridge) between the Ethereum Mainnet and Energy Web Chain. ‌",Carbon,,Carbonswap.exchange,0,checked,,,,,Marketplace,0,
https://www.carbonx.ca/,,5/7/2022 11:03 AM,Investment for carbon mitigation,Carbon,,CarbonX,2,checked,,,,,"Accounting,Offsetting",0,Token
